ID,GENERAL,ORDER DATE ,ORDER CODE ,SELLER DEPARTMENT ID,SELLER DEPARTMENT CODE ,SELLER DEPARTMENT NA ,SELLER DEPARTMENT TERRITORY,,,,,,,,buyer_badge_name,buyer_badge_discount,product_id,base_product_id,product_sku,product_name,product_brand_id,product_brand_name,product_category_id,product_category_name,order_qty,unit_price,subtotal,discount,custom_discount,amount,created_id,created_code,created_name,managed_territory,order_status,latest_status,units,unit1,unit2,unit3,unit4,unit5,free_with,free_with_product_name,free_with_product_sku,promotion_id,created_at,updated_at,,
1580783,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,53,53,FG0303252231,পাউন্ড চকলেট - ২৮০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,3,118,354,0,0,354,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580782,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,52,52,FG0303252131,পাউন্ড ভ্যানিলা - ২৮০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,3,118,354,0,0,354,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580781,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,62,62,FG0303142232,পাউন্ড চকলেট - ৭০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,10,30,300,0,0,300,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580780,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,61,61,FG0303142132,পাউন্ড ভ্যানিলা - ৭০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,10,30,300,0,0,300,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580779,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,23,23,FG0303292631,Fruit Cake-300gm,1,Dan Foods Limited,7,Fruit Cake,2,150,300,0,0,300,246,SND0111166081,Milton Mondol,202,accepted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580778,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,30,30,FG0301112131R-2,লেয়ার ভ্যানিলা - ২৭ গ্রাম - গিফট প্যাক,1,Dan Foods Limited,15,Layer Cake,2,240,480,0,0,480,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580777,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,28,28,FG0301112231R-2,লেয়ার চকলেট - ২৭ গ্রাম - গিফট প্যাক,1,Dan Foods Limited,15,Layer Cake,2,240,480,0,0,480,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580776,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,75,75,FG0302182431 S,সুইস রোল - স্ট্রবেরি ২০০ গ্রাম,1,Dan Foods Limited,13,Swiss Roll,1,150,150,0,0,150,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580775,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,76,76,FG0302182231,সুইস রোল - চকলেট ২০০ গ্রাম,1,Dan Foods Limited,13,Swiss Roll,2,150,300,0,0,300,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580774,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,40,40,FG0300112231,মাফিন - চকলেট - ৩০ গ্রাম গিফট প্যাক,1,Dan Foods Limited,3,Muffin,2,192,384,0,0,384,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580773,191961,2024-05-17,20240517S42B17485,42,DHK180184,Ryan International,62,17485,SAVAR,দুধের মিষ্টি,1573,1,1,1,General,0,38,38,FG0300112131,মাফিন - ভ্যানিলা - ৩০ গ্রাম গিফট প্যাক,1,Dan Foods Limited,3,Muffin,2,192,384,0,0,384,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580772,191960,2024-05-17,20240517S42B17140,42,DHK180184,Ryan International,62,17140,9013,আলম টি স্টোর,1573,1,1,1,General,0,69,69,FG0305192232,চকলেট সিঙ্গেল স্লাইস - ১৮ গ্রাম,1,Dan Foods Limited,12,Sliced Cake,24,8.5,204,0,0,204,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580771,191960,2024-05-17,20240517S42B17140,42,DHK180184,Ryan International,62,17140,9013,আলম টি স্টোর,1573,1,1,1,General,0,68,68,FG0305192132,ভ্যানিলা সিঙ্গেল স্লাইস - ১৮ গ্রাম,1,Dan Foods Limited,12,Sliced Cake,12,8.5,102,0,0,102,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580770,191959,2024-05-17,20240517S42B28727,42,DHK180184,Ryan International,42,28727,radiocolony090,ফেনি স্টোর,1573,1,1,1,General,0,74,74,FG0305162232,চকলেট ডাবল স্লাইস - ৪৫ গ্রাম,1,Dan Foods Limited,12,Sliced Cake,12,16.25,195,0,0,195,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580769,191958,2024-05-17,20240517S42B17131,42,DHK180184,Ryan International,62,17131,41009,দীপা জেনারেল স্টোর,1573,1,2,1,General,0,61,61,FG0303142132,পাউন্ড ভ্যানিলা - ৭০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,3,30,90,0,0,90,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580768,191958,2024-05-17,20240517S42B17131,42,DHK180184,Ryan International,62,17131,41009,দীপা জেনারেল স্টোর,1573,1,2,1,General,0,62,62,FG0303142232,পাউন্ড চকলেট - ৭০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,3,30,90,0,0,90,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580767,191958,2024-05-17,20240517S42B17131,42,DHK180184,Ryan International,62,17131,41009,দীপা জেনারেল স্টোর,1573,1,2,1,General,0,52,52,FG0303252131,পাউন্ড ভ্যানিলা - ২৮০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,1,118,118,0,0,118,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580765,191957,2024-05-17,20240517S42B17135,42,DHK180184,Ryan International,62,17135,R6QX+M5F1011,মায়েম স্টোর,1573,1,1,1,General,0,83,83,FG0303423331,বাটার কেক - ২২০ গ্রাম,1,Dan Foods Limited,2,Butter Cake,1,100,100,0,0,100,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580764,191957,2024-05-17,20240517S42B17135,42,DHK180184,Ryan International,62,17135,R6QX+M5F1011,মায়েম স্টোর,1573,1,1,1,General,0,55,55,FG0303363033,পাউন্ড অরেঞ্জ - ২২০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,1,100,100,0,0,100,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580763,191957,2024-05-17,20240517S42B17135,42,DHK180184,Ryan International,62,17135,R6QX+M5F1011,মায়েম স্টোর,1573,1,1,1,General,0,78,78,FG0302412331,সুইস রোল - স্ট্রবেরি ১৪০ গ্রাম,1,Dan Foods Limited,13,Swiss Roll,1,100,100,0,0,100,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580762,191957,2024-05-17,20240517S42B17135,42,DHK180184,Ryan International,62,17135,R6QX+M5F1011,মায়েম স্টোর,1573,1,1,1,General,0,77,77,FG0302412231,সুইস রোল - চকলেট ১৪০ গ্রাম,1,Dan Foods Limited,13,Swiss Roll,1,100,100,0,0,100,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
1580761,191957,2024-05-17,20240517S42B17135,42,DHK180184,Ryan International,62,17135,R6QX+M5F1011,মায়েম স্টোর,1573,1,1,1,General,0,62,62,FG0303142232,পাউন্ড চকলেট - ৭০ গ্রাম,1,Dan Foods Limited,10,Pound Cake,6,30,180,0,0,180,246,SND0111166081,Milton Mondol,202,accepted,NULL,[],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-05-18 13:08:15,2024-05-18 13:08:15,,
